word,ipa_toned,clean_text,category,audio_path,duration
a,a,for,abstract,a.wav,0
abaanyu,aβáːɲu,someone's relatives,people,abaanyu.wav,0
abaawe,aβáːwe,a word used to refer to one's family members,people,abaawe.wav,0
abacwezi,aβacwézi,a group of people who are believed to have lived in the anci ent Nkole kingdom and were associated with spiritual powers,people,abacwezi.wav,0
abahitsi,aβahítsi,undertakers for burrying a king,people,abahitsi.wav,0
abahuruzi,aβahuɾúzi,warriors,people,abahuruzi.wav,0
abaitu,aβaítu,our relatives,people,abaitu.wav,0
abambari,aβamβáɾi,(in Ankole kingdom) favoured male people who used to work in the palace,people,abambari.wav,0
abaregye,aβaɾéɟe,competitors,people,abaregye.wav,0
abaregyera,aβaɾeɟéɾa,a type of cows that are known for moving very fast and can move long distances,people,abaregyera.wav,0
abaroreezi,aβaɾoɾéːzi,onlookers,people,abaroreezi.wav,0
abarungi,aβaɾúŋi, beautiful or good looking people.  good hearted people,people,abarungi.wav,0
abaryakamwe,aβaɾyakámwe,intimate friends,people,abaryakamwe.wav,0
abashendekyeza,aβaʃendecéza,people who accompany a bride when she is getting married.. abashomi1 n. believers or religious people those who have faith. abashomi2 n,people,abashendekyeza.wav,0
abatangaaza,aβataŋáːza,a name that was given to the cows for Ntare one of the former kings of Ankole,people,abatangaaza.wav,0
abatangaazi,aβataŋáːzi,people who brought cows to Buganda when there was drought in Ankole in the first half of the 20th century,people,abatangaazi.wav,0
abateruzi,aβateɾúzi, potters,people,abateruzi.wav,0
abatuukurani,aβatuːkuɾáni,(in ancient times) people who were killed by swords or spears,people,abatuukurani.wav,0
abayonga,aβayóŋa,dark people especially of the Bahinda clan. abaziiki1 n. mourners,people,abayonga.wav,0
abeeteeraine,aβeːteːɾaíne,sir? ahaasi prep. ahabiso1 adv. an unclosed place and abit distant. ahabiso2 adv. in future. ahabw'okuba conj. because,abstract,abeeteeraine.wav,0
ahagati,ahagáti, between,abstract,ahagati.wav,0
ahaifo,ahaífo,a place at a lower level compared to the other,abstract,ahaifo.wav,0
ahaiguru,ahaigúɾu,above,abstract,ahaiguru.wav,0
ahamaisho,ahamaíʃo,nose and the mouth,abstract,ahamaisho.wav,0
ahamweija,ahamweíja,a word used to refer to a place already talked about and known to two or more people. ahandi pron.  somewhere,abstract,ahamweija.wav,0
ahansi,ahánsi,or part of region or place. ahanyima1 adv. indicating sequence of events. Earlier on we had agreed to go and visit her.. ahanyima2 adv. afterwards,abstract,ahansi.wav,0
aharubaju,ahaɾuβáju,on the side out of other people's hearing. aharuguru akaceceko 2,abstract,aharubaju.wav,0
aharuguru,ahaɾugúɾu,raised area,abstract,aharuguru.wav,0
aheekiikire,aheːkiːkíɾe,a place which cannot be easily seen or accessed. aheeru1 adv.  outside,abstract,aheekiikire.wav,0
aho,áho,there,abstract,aho.wav,0
ahonaaho,ahonáːho,"how good! ai nuunu phr. expression to mean oh, how good! aima int. expression of disgust",abstract,ahonaaho.wav,0
akaabunga,akaːβúŋa,up in the sky,small_thing,akaabunga.wav,0
akaakiiro,akaːkíːɾo,thirst,small_thing,akaakiiro.wav,0
akaaku,akáːku,trunk of an elephant that it uses for feeding and protection,small_thing,akaaku.wav,0
akaamunaana,akaːmunáːna,exaggeration,small_thing,akaamunaana.wav,0
akaanirampanga,akaːniɾampáŋa,hawk,small_thing,akaanirampanga.wav,0
akaano,akáːno,valley,small_thing,akaano.wav,0
akaanya,akáːɲa, shortest period of time. Can I talk to you for a moment?  distance,small_thing,akaanya.wav,0
akaanya-bwanya,akaːɲa-βwáɲa,a short time,small_thing,akaanya-bwanya.wav,0
